merchantID,hour,weekday,driverID,time_variance,row_count,trip_ids,times,date
1470,17,False,1425,,1,['dc4dd31aaf33a4b5be4b49c66cdc845806aab4c2e5f0ae2202890be0cb45640c'],[321.0],[25]
1470,17,False,1951,,1,['1a8c9dcd08f92740eff22a20c85c8154b2f7d9c72c5a41944008d324da9fffa6'],[256.0],[24]
1470,17,False,2835,,1,['6470731b1b52526eb0ed6a243cba71dd239459f23e8f4c0c05e642e468b6e799'],[911.0],[25]
1470,17,False,2940,,1,['e456667d79bdbc45afe0e74f278cd8a19c9b4db0506a3aab062fba0e15e06738'],[551.0],[24]
1470,17,True,380,,1,['d9e69fc04d77f17b86bcc54c40a15402913c10561784764f760f9d586fefdd55'],[1244.0],[28]
1470,17,True,1177,,1,['4a756dd9835b75f0988efc808d71f67bc268fcb12813c73ecc965877e95633ae'],[1374.0],[30]
1470,17,True,1202,,1,['b8c30a622def32c68bc760f47c5466e37ec54196f7ab057edfe86ec42bd1f017'],[659.0],[30]
1470,17,True,1564,,1,['898044dafc51915798c84aeffd9efe9b008613d5ccd32db69ca3132fa087da96'],[381.0],[30]
1470,17,True,2535,,1,['e7e3e83e110138d2e39074f3f9f5a2ac1be717b4cb796bb53f12fbccbc19a068'],[590.0],[27]
1470,18,False,254,,1,['01d65f2af7ed56ef012b5f13b608769caa4c82723699d003de2cb6fd3958bd56'],[1381.0],[25]
1470,18,False,674,,1,['18dea1b27ce548376c5cb447825603ec3cd1ac4305eef18a669e573b6f08ef1a'],[370.0],[26]
1470,18,False,1008,,1,['571042c4c9daa99b193c4d93529993a20efd86e3e9dc96a0b3e4327eee282289'],[242.0],[25]
1470,18,True,495,,1,['047c620de77b13ec1cbd5ff1624df3b0d1e5d638ad0a1759e3af6e1a3eafa663'],[868.0],[29]
1470,18,True,1074,,1,['ccab8ecc8a790317158201559b7012ae45d4ee1ee5263fd44ecd1b21ace94171'],[955.0],[27]
1470,19,False,330,,1,['cbbe342653b6d9dd82a00a4fc096a76b911f9d3925100e29d624c4248fb5ef08'],[1409.0],[24]
1470,19,False,617,,1,['a16d543e657664263e22baaf65273cf8866f61a2bbd49e75bb0237cc5df4946a'],[192.0],[24]
1470,19,False,1659,,1,['53e727a4ad5ee90ac7e92df2038395ed3e697f14e0710729aa4776b0615a9128'],[703.0],[24]
1470,19,False,3135,,1,['ccffbf79fac474ed73f54f8e7cad07d57a8eb7987e6f730ee014d25fa014908b'],[1304.0],[26]
1470,19,True,495,,1,['e2b6d29cb3dccb1e83ba3624e553207e5c12f4d0ee6463aa2215d6bf934ce3c8'],[725.0],[27]
1470,19,True,846,,1,['f8faec2ccdf9d4b07a400eaeb64014584b51588e18fdb2948f1d1a05a3a3d62e'],[1046.0],[28]
1470,19,True,1115,,1,['659e836d899fc6a6d2960ffa45392827afa1f6316fe4de6d8fed5f8d20fcd106'],[156.0],[27]
1470,19,True,1430,,1,['6d5f7e500694118f4b853fa44fa7ccdb80fc4f975691638663d7fbaa42cfa076'],[222.0],[27]
1470,19,True,2740,,1,['bee53de223fecb9ce7212177c7375ec42d37f5b2e3eabee4f3dfb7f0863f4fe0'],[374.0],[30]
1471,6,False,1053,,1,['1b83fc5f48629c018b7167ec66e3e89823f4b7ebfcae8897c11359d71dea66a0'],[224.0],[25]
1471,14,False,736,,1,['d9cd52e1e8ead45ebc579a0bed93581e177206bf6d5fd3aaf8733f83732279f1'],[495.0],[25]
1471,15,False,2754,,1,['34fa7c86b0cb7f80cf80c45fbcf11af3cdedc8d0562896b7f9f54405ff532395'],[1506.0],[26]
1472,9,True,1311,,1,['e2a4293615d84d98e63138f5e99c54e4341090078ef248b6393735eff21cc44c'],[869.0],[27]
1472,10,False,2521,,1,['259a1c369c8fab9f0f7c45dfc5d1a2b9dc7f387b3033df2ca31ea188b2bb790e'],[1180.0],[24]
1472,13,False,472,,1,['b9a93a6aaf3afbf6e80156272bb080ffb7f5b1972185bf7ecb4e572f3a986b41'],[847.0],[24]
1472,14,False,3101,,1,['00d971491951f97c21623703b7984eea7d06658daba999f7a90fabc1bfa12523'],[481.0],[26]
1472,14,True,1926,,1,['2a866466328b2ad44768507f77e8510359a97721b15b31278fe58d0d002a80c7'],[656.0],[30]
1472,14,True,2305,,1,['75ae640906670fc3299f6c0123ff4a8212b3248df0f0cc98b88ae1d3a61f3978'],[577.0],[29]
1472,17,False,1367,,1,['1e39c295e9108981730fd83fddc41db9501be635d8c8442890e40dab638faea6'],[1011.0],[24]
1472,17,False,3394,,1,['df66f3e48fe2ea7f00a30a21296a7726d9b1bc6d94a05da414aa23a0d7507839'],[854.0],[24]
1472,17,True,2561,,1,['37f845b50e6ba1e4fe4cc007597e743395200c31a7f33e365fe11ca4a724508f'],[680.0],[29]
1472,18,False,2558,,1,['fa1479d7b0d7825a71e6cf0003b6114cd2489c96a9db7bf197cd90a2fd646a75'],[669.0],[24]
1472,18,True,2722,,1,['ce4d818b822871706bd90f271d936157333250de0bf157f1a704023d99ac3cc3'],[1620.0],[28]
1472,19,False,1919,,1,['b92d4aab7307a7f3dab37e370f4973492c6be17b1d08071ffc93618d5c88c755'],[690.0],[25]
1472,19,False,2390,,1,['cd806ac2a54c96ec7f1442384932ac86ab00eb9507127782665764578412b34b'],[542.0],[26]
1472,19,True,1280,,1,['9f2161afba5bba62fb9548f7d35ae31abbff959fda7c476448086b2293e893df'],[310.0],[30]
1473,8,True,2163,,1,['3dcd2d98b2661cc5a1795fc02627ecbcb048ddfd6e813a4ae22f7e1f089eeba6'],[638.0],[28]
1473,10,False,1892,,1,['95d301b5f579f1283e57cd41a4e5c3e7195f334dda90b301230c519fcba5de78'],[833.0],[24]
1473,10,True,3,,1,['63a69fa2a42dfc169a263e59d2fe0818b576a58da2a535c2ac9c91997c448a7a'],[395.0],[28]
1473,10,True,627,,1,['7765378507dc9ae54687e644d567b96ea891c3f8747e098c6b2070caa39cb733'],[1235.0],[29]
1473,11,False,1159,,1,['dfd7e8a70b8aef81a492472f94537a4e07f4115161e9e70eeeaed51fe4fc7afc'],[1397.0],[24]
1473,11,False,1838,,1,['9f082229a5db10bfa736a583357a612cb53b4895106d1378d3026b4a2b9d4079'],[927.0],[26]
1473,11,False,2373,,1,['1d5f9f38277fed4dacb201e8fc8af8c965c36ae5741c6d8a9899f0f095365aa8'],[412.0],[24]
1473,11,True,602,,1,['d54c6cb94b716d07a85a22256d59b9ebbb93f7edc5cceb65b415d1fb8dec9f7d'],[368.0],[28]
1473,11,True,1725,,1,['72ad7340eeeaa63b80e0bc1e0be87651c9d0fca7747aed990b5bd48aaf94443d'],[1256.0],[28]
1473,12,False,1528,,1,['cbed3793f74826cb0afe320752c99cabe2dc74bf398faafb48c22b818ffb7de7'],[738.0],[26]
1473,12,False,2656,,1,['8e473b48fb2906d39dc67f13250f02ef2a2f666b0c54a4d3dba5b039a51174ef'],[417.0],[24]
1473,12,True,264,,1,['e2ef3d6f04571ed465720f9611830f653ea4f2cd7cf2916633acaa0221146fd1'],[884.0],[27]
1473,12,True,2021,,1,['765ed10a921376f9eb9ee8fc85da5839a75cf49c0785f50160ecf18dcf282bdb'],[1149.0],[27]
1473,12,True,2383,,1,['8a523ddbfa95e24a882bb2f907e422d0e075771d14ab44b5bf86845e32c98a78'],[800.0],[29]
